Dealer #,Name ,Street Name,City,State,Country,Postal Code,Comments
50008433,3H CUSTOMS LLC (AG),59389 645TH STREET,ATLANTIC,Iowa,USA,50022,"Farm Supply Retailer, nothing on website"
50009446,3KD INC DBA PERFORMANCE LINE TOOL C,130 S. TELEGRAPH RD.,WATERFORD,Michigan,USA,48328,"Power and construction tools, nothing on website."
50006690,"4 RIVERS EQUIPMENT, LLC",924 11TH STREET,GREELEY,Colorado,USA,80631,"Yes, paired with heavy equipment https://www.4riversequipment.com/technology/"
50005475,"5D SOLUTIONS, INC.","270 BOEING AVE, SUITE 4",CHICO,California,USA,95973,"Yes, they have Topcon https://5dsolutionsinc.com/3d-grade-management-system/"
50006410,A & B DIE CASTING INC.,900 ALFRED NOBEL DRIVE,HERCULES,California,USA,94547,"Die Casting company, nothing on website"
50000707,A & D TECHNICAL SUPPLY CO INC OMAHA,4320 S 89TH STREET,OMAHA,Nebraska,USA,68127-1519,"Printing, Scanning, and Wedding Décor, nothing on website"
50007846,A1 WEIGHING EQUIPMENT PTY LTD (AG),31 MORT ST,TOOWOOMBA,Queensland,Australia,4350,"Weighing Equipment, nothing on website"
50001384,"A2Z RENTALS, INC (CH)",2300 LOCKPORT ROAD,SANBORN,New York,USA,14132,"Construction Rentals, nothing on website"
50009049,AARON BEAVER FARMS (AG),PO BOX 258,ISLETON,California,USA,95641,Contractor no website
50007921,AB TECH KK (AG),"35-14 NISHI-KAMATA-CHO, 6 CHOME",OHATA-KU,Tokyo,Japan,1440051,Could not find website
50000300,ABC BLUEPRINT (CH),PO DRAWER 15145,AMARILLO,Texas,USA,79106-5671,"Reprographics (Reproducing content), copying, and printing services, nothing on website"
50006536,ABC EQUIPMENT RENTAL INC. (CH),800 GEIPE ROAD,CATONSVILLE,Maryland,USA,22128,"Equipment Rentals, nothing on website"
50008872,ABELARDO CUFFIA S.A.,RUTA NAC. 9 KM 443,MARCOS JUAREZ,Cordoba,Argentina,2580,"Precision Agriculture Equipment, nothing on website"
50001547,ABLE TOOL AND EQUIPMENT (channel),410 BURNHAM ST.,SOUTH WINDSOR,Connecticut,USA,6074,"Construction industry sales and rentals, nothing on website"
50003453,ABSOLUTE ACCURACY (CH),2451 RIVERSIDE DRIVE,LOS ANGELES,California,USA,90039,"Yes, they have Topcon and Sokkia https://aaisurvey.com/pres/index.php?id_category=378&controller=category"
50000555,ACCURATE LASER SYSTEMS,2855 TOBEY DRIVE,INDIANAPOLIS,Indiana,USA,46219,"Yes, they have Topcon  http://accuratelasersystems.com/index_files/ourproducts.htm"
50000755,ACME ELECTRIC/TOOL CRIB (CH),PO BOX 13720,GRAND FORKS,North Dakota,USA,58208-3720,"Equipment sales (Kubota), nothing on website"
50001439,ACME LIFT COMPANY (AZ),4751 E INDIGO STREET,MESA,Arizona,USA,85205,"Large Equipment rentals (earth movers), nothing on website"
50004996,ACS ALL CONSTRUCTION SUPPLY LLC (CH,648 N NEVA AVENUE,ADDISON,Illinois,USA,60101,"Construction equipment sales, nothing on website"
50006819,ACTION EQUIPMENT RENTAL (CH),415 WEST MAIN STREET,NORWICH,Connecticut,USA,360,"Construction Rental and sales, nothing on website"
50000744,"ADMAR SUPPLY CO., INC.",1950 BRIGHTON-HENRIETTA TL RD.,ROCHESTER,New York,USA,14623,"Yes, they have Sokkia https://admarsupply.com/positioning-solutions-product-catalog/"
50001390,ADVANCE RENTAL AND CONSTRUCTION SUP,398 QUAKER RD.,QUEENSBURY,New York,USA,12804,"Yes, they have Topcon https://advancerentalandsupply.com/rental-equipment/?w=photocat&phcat=98"
50005948,ADVANCED AERIAL INSPECTION RESOURCE,32628 DECKER PRAIRIE ROAD SUITE 1,MAGNOLIA,Texas,USA,77355,"Drone inspection service, nothing on website"
50001636,ADVANCED FASTENING SUPPLY (channel),2201 ADVANCE ROAD,MADISON,Wisconsin,USA,53718,"Construction supplies, nothing on website"
50009487,"ADVANCED GEODETIC SURVEYS, INC (CH/",23111 FM 1462,DAMON,Texas,USA,77430,"Yes, they have Topcon https://agsgps.com/?utm_term=%2Badvanced%20%2Bgeodetic%20%2Bsurveys&utm_campaign=**LP+Branded&utm_source=bing&utm_medium=ppc&hsa_acc=6065906361&hsa_cam=970402543&hsa_grp=1265538017600181&hsa_ad=&hsa_src=o&hsa_tgt=kwd-79096208323896:loc-4128&hsa_kw=%2Badvanced%20%2Bgeodetic%20%2Bsurveys&hsa_mt=p&hsa_net=adwords&hsa_ver=3&msclkid=a51383903490150e3674e106a3408191&utm_content=Advanced%20Geodetic%20Surveys"
50003545,ADVANTAGE CONSTRUCTION SUPPLY (CH),SUITE 100 8500 YOUNGER CREEK DRIVE,SACRAMENTO,California,USA,95828,Cant find website
50001699,ADVANTAGE FARM EQUIPMENT,392 BROADWAY ST,WYOMING,Ontario,Canada,N0N 1T0,"Yes, they have Topcon https://advantage-equip.com/equipment/precision/"
50008590,AG AUTHORITY (AG),PO BOX 100,KINISTINO,Saskatchewan,Canada,S0J 1H0,"Yes, they have Topcon https://agauthority.ca/Topcon"
50008236,AG CENTRAL CO-OP (AG),920 CONGRESS PKWY,ATHENS,Tennessee,USA,37303,"Agriculture supply service, nothing on website"
50008332,AG ENTERPRISE SUPPLY INC (AG),17005 W STATE ROUTE 904,CHENEY,Washington,USA,99004,"Yes, they have Topcon"
50007693,AG EXPRESS (AG),6280 NE 14TH ST,DES MOINES,Iowa,USA,50313,"Yes, they have Topcon"
50009722,AG INDUSTRIAL MANUFACTURING INC. (A,PO BOX 53,LODI,California,USA,95241,
50001820,AG INFO TECH LLC,19325 ZOLMAN RD,FREDERICKTOWN,Ohio,USA,43019,
50007675,AG LEADER TECHNOLOGY-AMES (AG),2202 SOUTH RIVERSIDE DRIVE,AMES,Iowa,USA,50010,
50008248,AG NATION PRODUCTS,PO BOX 30127,EAST CANTON,Ohio,USA,44730,
50008302,AG SOLUTIONS GROUP (AG),PO BOX 219,MARSHALL,Missouri,USA,65340,
50008379,AG TECHNOLOGIES INC (AG),1268 E 100 S,ROCHESTER,Indiana,USA,46975,
50007981,AG TECHNOLOGY GROUP (AG),13314 STARKEY FARM LANE,GALENA,Maryland,USA,21635,
50009649,AG TO GO (AG),370 SUMIT POINT DR,HENRIETTA,New York,USA,14467,
50008470,AG WORLD EQUIPMENT (AG),PO BOX 340,KINISTINO,Saskatchewan,Canada,S0J 1H0,
50008153,AGB CONSULTING (AG),112 PRAIRIE MANOR,EDWARDSVILLE,Illinois,USA,62025,cant find website
50001389,AGCO  do BRASIL SOLUCOES AGRICOLAS,10260 Guilherme Schell Avenue,CANOAS,Rio Grande do Sul,Brazil,92420-532,
50005212,AGCO  do BRASIL SOLUCOES AGRICOLAS,"R. CAPITAO F. DE ALMEIDA,695 BRAS C",MOGI DAS CRUZES,Sao Paulo,Brazil,08740-300,
